lab,subid,method,age_days,order,native_lang,lang_exposure,comment,comment 2
lpp-paris-gervain,mb_001,,,,,,static checkerboard stim on side,"uninterested, overall low looking times, not coded"
lpp-paris-gervain,mb_002,,,,,,static checkerboard stim on side,"uninterested, overall low looking times, not coded"
lpp-paris-gervain,mb_003,HPP with Screens,256,1,French,100,looming circle/light stim on side,
lpp-paris-gervain,mb_004,HPP with Screens,258,1,French,100,looming circle/light stim on side,
lpp-paris-gervain,mb_005,HPP with Screens,258,1,French,100,looming circle/light stim on side,equipment failure during training trials
